id,Метка времени,id абонента,"Тип услуги (звонок, смс, трафик)",Объем затраченных единиц
1,2022-03-01 00:00:00,319,звонок,11
2,2022-03-01 01:00:00,430,трафик,388
3,2022-03-01 02:00:00,250,трафик,230
4,2022-03-01 03:00:00,29,трафик,167
5,2022-03-01 04:00:00,391,трафик,164
6,2022-03-01 05:00:00,353,смс,2
7,2022-03-01 06:00:00,242,смс,2
8,2022-03-01 07:00:00,280,смс,1
9,2022-03-01 08:00:00,31,звонок,10
10,2022-03-01 09:00:00,133,смс,2
11,2022-03-01 10:00:00,484,смс,2
12,2022-03-01 11:00:00,375,трафик,447
13,2022-03-01 12:00:00,290,трафик,380
14,2022-03-01 13:00:00,37,трафик,357
15,2022-03-01 14:00:00,84,звонок,40
16,2022-03-01 15:00:00,329,трафик,325
17,2022-03-01 16:00:00,461,смс,2
18,2022-03-01 17:00:00,342,трафик,453
19,2022-03-01 18:00:00,184,трафик,336
20,2022-03-01 19:00:00,398,звонок,37
21,2022-03-01 20:00:00,466,трафик,465
22,2022-03-01 21:00:00,6,смс,2
23,2022-03-01 22:00:00,278,звонок,49
24,2022-03-01 23:00:00,2,звонок,40
25,2022-03-02 00:00:00,2,смс,1
26,2022-03-02 01:00:00,403,звонок,46
27,2022-03-02 02:00:00,161,трафик,88
28,2022-03-02 03:00:00,473,звонок,25
29,2022-03-02 04:00:00,207,трафик,468
30,2022-03-02 05:00:00,161,трафик,231
31,2022-03-02 06:00:00,75,смс,2
32,2022-03-02 07:00:00,196,трафик,498
33,2022-03-02 08:00:00,173,трафик,167
34,2022-03-02 09:00:00,290,смс,1
35,2022-03-02 10:00:00,60,смс,2
36,2022-03-02 11:00:00,364,звонок,24
37,2022-03-02 12:00:00,223,звонок,30
38,2022-03-02 13:00:00,352,трафик,484
39,2022-03-02 14:00:00,253,смс,2
40,2022-03-02 15:00:00,283,трафик,319
41,2022-03-02 16:00:00,88,смс,1
42,2022-03-02 17:00:00,249,звонок,21
